shrinkage,simple average,simplex,simplex+entropy,simplex+ridge
1,1.64817039188318,1.33472595348422,1.33472594442155,1.33472595348422
2,1.64817039188318,1.33472595348422,1.29221722480062,1.28721067389694
3,1.64817039188318,1.33472595348422,1.29101851046887,1.25858481881617
4,1.64817039188318,1.33472595348422,1.2964666196006,1.24080270465559
5,1.64817039188318,1.33472595348422,1.30456113831051,1.22922828241194
6,1.64817039188318,1.33472595348422,1.32352021927092,1.21421283452652
7,1.64817039188318,1.33472595348422,1.58340877382986,1.61913647125018
8,1.64817039188318,1.33472595348422,1.61265975287848,1.63319158639238
9,1.64817039188318,1.33472595348422,1.62371621565821,1.63807531857952
10,1.64817039188318,1.33472595348422,1.62952360827894,1.64055712838656
