shrinkage,simple average,simplex,simplex+entropy,simplex+ridge
1,1.3402063724589,1.220706220759,1.22070622799552,1.220706220759
2,1.3402063724589,1.220706220759,1.17470955416555,1.17546824434536
3,1.3402063724589,1.220706220759,1.17026156809907,1.15171670567764
4,1.3402063724589,1.220706220759,1.17244565824312,1.13925102074735
5,1.3402063724589,1.220706220759,1.17717298071755,1.13221671522569
6,1.3402063724589,1.220706220759,1.18914584649165,1.12433129613607
7,1.3402063724589,1.220706220759,1.31626857550579,1.32965859729946
8,1.3402063724589,1.220706220759,1.32727323397484,1.33479941631569
9,1.3402063724589,1.220706220759,1.33134602104643,1.33657051302495
10,1.3402063724589,1.220706220759,1.33346793032734,1.33746751666347
