Nmax,Simple Average,Simplex,Mixture of Best N,Mixture of Best N<=Nmax,Best N-Mixture,"Best N-Mixture, N<=Nmax"
1,1.64817039188318,1.33472595348422,2.68133360320163,2.68133360320163,2.68133360320163,2.68133360320163
2,1.64817039188318,1.33472595348422,1.61552105420088,1.63669448467049,1.63038938366731,1.63628296218719
3,1.64817039188318,1.33472595348422,1.3752239164332,1.45347061517179,1.37891679386295,1.42595710832568
4,1.64817039188318,1.33472595348422,1.29178191905141,1.38688971093942,1.29147178549554,1.38309377031403
5,1.64817039188318,1.33472595348422,1.24839060855951,1.35798776870411,1.25075584730862,1.37456724454423
6,1.64817039188318,1.33472595348422,1.22189252102539,1.34458340317604,1.22301867001811,1.37127860633024
7,1.64817039188318,1.33472595348422,1.20547358353133,1.33657963467395,1.20738716801911,1.37123354062436
8,1.64817039188318,1.33472595348422,1.1955157214303,1.33286510661009,1.19674442552317,1.37123986217609
9,1.64817039188318,1.33472595348422,1.18855845413177,1.32998671007299,1.19129396170888,1.37123986217609
10,1.64817039188318,1.33472595348422,1.18254143950447,1.32873346068595,1.19337660275649,1.37123986217609
11,1.64817039188318,1.33472595348422,1.25233513688494,1.32875687600411,1.25381244984668,1.37123986217609
12,1.64817039188318,1.33472595348422,1.31393783690188,1.32875687600411,1.31446699740975,1.37123986217609
13,1.64817039188318,1.33472595348422,1.37144695835593,1.32875687600411,1.37027856657843,1.37123986217609
14,1.64817039188318,1.33472595348422,1.42150531397498,1.32875687600411,1.42076018480426,1.37123986217609
15,1.64817039188318,1.33472595348422,1.46892300277865,1.32875687600411,1.46754587073665,1.37123986217609
16,1.64817039188318,1.33472595348422,1.51090379973135,1.32875687600411,1.50958363993292,1.37123986217609
17,1.64817039188318,1.33472595348422,1.54905387616359,1.32875687600411,1.54871675667361,1.37123986217609
18,1.64817039188318,1.33472595348422,1.58505460580162,1.32875687600411,1.58401642625171,1.37123986217609
19,1.64817039188318,1.33472595348422,1.61802206024379,1.32875687600411,1.61769562466343,1.37123986217609
20,1.64817039188318,1.33472595348422,1.64817039188318,1.32875687600411,1.64817039188318,1.37123986217609
