Nmax,Simple Average,Simplex,Mixture of Best N,Mixture of Best N<=Nmax,Best N-Mixture,"Best N-Mixture, N<=Nmax"
1,1.3402063724589,1.220706220759,1.86161279541624,1.86161279541624,1.86161279541624,1.86161279541624
2,1.3402063724589,1.220706220759,1.35548087928898,1.38940939006546,1.34449915145884,1.36062954452502
3,1.3402063724589,1.220706220759,1.22697273939493,1.29662056551669,1.22952218403056,1.27147798567923
4,1.3402063724589,1.220706220759,1.16397984294293,1.2572441409751,1.17355058505467,1.24889487149963
5,1.3402063724589,1.220706220759,1.13165833952138,1.24237339019982,1.14807529116435,1.24396243050934
6,1.3402063724589,1.220706220759,1.11404091135057,1.23571383022069,1.13600755491754,1.24265452513048
7,1.3402063724589,1.220706220759,1.10407378675589,1.23125836701141,1.12915666097265,1.242690633965
8,1.3402063724589,1.220706220759,1.09903065417525,1.2291530461789,1.12758319741844,1.24268101047965
9,1.3402063724589,1.220706220759,1.09670985045293,1.22862036010025,1.1273716569529,1.24268101047965
10,1.3402063724589,1.220706220759,1.09604640543998,1.22855083142107,1.13180748501958,1.24268101047965
11,1.3402063724589,1.220706220759,1.11992157294844,1.22845498834931,1.14497527232991,1.24268101047965
12,1.3402063724589,1.220706220759,1.14881684825415,1.22851433761223,1.16472654144427,1.24268101047965
13,1.3402063724589,1.220706220759,1.17684962623779,1.22821919422667,1.18814766304862,1.24268101047965
14,1.3402063724589,1.220706220759,1.20376899999514,1.22798881570294,1.21174234094478,1.24268101047965
15,1.3402063724589,1.220706220759,1.22999866883911,1.22800645388696,1.23507960382773,1.24268101047965
16,1.3402063724589,1.220706220759,1.25399273564475,1.22803886766034,1.25649243604742,1.24268101047965
17,1.3402063724589,1.220706220759,1.27699624755952,1.22804489559237,1.27858074525156,1.24268101047965
18,1.3402063724589,1.220706220759,1.29822839694285,1.22804489559237,1.29952546696278,1.24268101047965
19,1.3402063724589,1.220706220759,1.31955045191872,1.22804489559237,1.31937099897836,1.24268101047965
20,1.3402063724589,1.220706220759,1.34020637245889,1.22808290199769,1.34020637245889,1.24268101047965
